wifi,sle,status
1A:03:03:00:02:CB,1A:03:A0:00:01:65,0
1A:03:03:00:02:CD,1A:03:A0:00:01:66,0
1A:03:03:00:02:CF,1A:03:A0:00:01:67,0
1A:03:03:00:02:D1,1A:03:A0:00:01:68,0
1A:03:03:00:02:D3,1A:03:A0:00:01:69,0
1A:03:03:00:02:D5,1A:03:A0:00:01:6A,0
1A:03:03:00:02:D7,1A:03:A0:00:01:6B,0
1A:03:03:00:02:D9,1A:03:A0:00:01:6C,0
1A:03:03:00:02:DB,1A:03:A0:00:01:6D,0
1A:03:03:00:02:DD,1A:03:A0:00:01:6E,0
1A:03:03:00:02:DF,1A:03:A0:00:01:6F,0
1A:03:03:00:02:E1,1A:03:A0:00:01:70,0
1A:03:03:00:02:E3,1A:03:A0:00:01:71,0
1A:03:03:00:02:E5,1A:03:A0:00:01:72,0
1A:03:03:00:02:E7,1A:03:A0:00:01:73,0
1A:03:03:00:02:E9,1A:03:A0:00:01:74,0
1A:03:03:00:02:EB,1A:03:A0:00:01:75,0
1A:03:03:00:02:ED,1A:03:A0:00:01:76,0
1A:03:03:00:02:EF,1A:03:A0:00:01:77,0
1A:03:03:00:02:F1,1A:03:A0:00:01:78,0
1A:03:03:00:02:F3,1A:03:A0:00:01:79,0
1A:03:03:00:02:F5,1A:03:A0:00:01:7A,0
1A:03:03:00:02:F7,1A:03:A0:00:01:7B,0
1A:03:03:00:02:F9,1A:03:A0:00:01:7C,0
1A:03:03:00:02:FB,1A:03:A0:00:01:7D,0
1A:03:03:00:02:FD,1A:03:A0:00:01:7E,0
1A:03:03:00:02:FF,1A:03:A0:00:01:7F,0
1A:03:03:00:03:01,1A:03:A0:00:01:80,0
1A:03:03:00:03:03,1A:03:A0:00:01:81,0
1A:03:03:00:03:05,1A:03:A0:00:01:82,0
1A:03:03:00:03:07,1A:03:A0:00:01:83,0
1A:03:03:00:03:09,1A:03:A0:00:01:84,0
1A:03:03:00:03:0B,1A:03:A0:00:01:85,0
1A:03:03:00:03:0D,1A:03:A0:00:01:86,0
1A:03:03:00:03:0F,1A:03:A0:00:01:87,0
1A:03:03:00:03:11,1A:03:A0:00:01:88,0
1A:03:03:00:03:13,1A:03:A0:00:01:89,0
1A:03:03:00:03:15,1A:03:A0:00:01:8A,0
1A:03:03:00:03:17,1A:03:A0:00:01:8B,0
1A:03:03:00:03:19,1A:03:A0:00:01:8C,0
1A:03:03:00:03:1B,1A:03:A0:00:01:8D,0
1A:03:03:00:03:1D,1A:03:A0:00:01:8E,0
1A:03:03:00:03:1F,1A:03:A0:00:01:8F,0
1A:03:03:00:03:21,1A:03:A0:00:01:90,0
1A:03:03:00:03:23,1A:03:A0:00:01:91,0
1A:03:03:00:03:25,1A:03:A0:00:01:92,0
1A:03:03:00:03:27,1A:03:A0:00:01:93,0
1A:03:03:00:03:29,1A:03:A0:00:01:94,0
1A:03:03:00:03:2B,1A:03:A0:00:01:95,0
1A:03:03:00:03:2D,1A:03:A0:00:01:96,0
1A:03:03:00:03:2F,1A:03:A0:00:01:97,0
1A:03:03:00:03:31,1A:03:A0:00:01:98,0
1A:03:03:00:03:33,1A:03:A0:00:01:99,0
1A:03:03:00:03:35,1A:03:A0:00:01:9A,0
1A:03:03:00:03:37,1A:03:A0:00:01:9B,0
1A:03:03:00:03:39,1A:03:A0:00:01:9C,0
1A:03:03:00:03:3B,1A:03:A0:00:01:9D,0
1A:03:03:00:03:3D,1A:03:A0:00:01:9E,0
1A:03:03:00:03:3F,1A:03:A0:00:01:9F,0
1A:03:03:00:03:41,1A:03:A0:00:01:A0,0
1A:03:03:00:03:43,1A:03:A0:00:01:A1,0
1A:03:03:00:03:45,1A:03:A0:00:01:A2,0
1A:03:03:00:03:47,1A:03:A0:00:01:A3,0
1A:03:03:00:03:49,1A:03:A0:00:01:A4,0
1A:03:03:00:03:4B,1A:03:A0:00:01:A5,0
1A:03:03:00:03:4D,1A:03:A0:00:01:A6,0
1A:03:03:00:03:4F,1A:03:A0:00:01:A7,0
1A:03:03:00:03:51,1A:03:A0:00:01:A8,0
1A:03:03:00:03:53,1A:03:A0:00:01:A9,0
1A:03:03:00:03:55,1A:03:A0:00:01:AA,0
1A:03:03:00:03:57,1A:03:A0:00:01:AB,0
1A:03:03:00:03:59,1A:03:A0:00:01:AC,0
1A:03:03:00:03:5B,1A:03:A0:00:01:AD,0
1A:03:03:00:03:5D,1A:03:A0:00:01:AE,0
1A:03:03:00:03:5F,1A:03:A0:00:01:AF,0
1A:03:03:00:03:61,1A:03:A0:00:01:B0,0
1A:03:03:00:03:63,1A:03:A0:00:01:B1,0
1A:03:03:00:03:65,1A:03:A0:00:01:B2,0
1A:03:03:00:03:67,1A:03:A0:00:01:B3,0
1A:03:03:00:03:69,1A:03:A0:00:01:B4,0
1A:03:03:00:03:6B,1A:03:A0:00:01:B5,0
1A:03:03:00:03:6D,1A:03:A0:00:01:B6,0
1A:03:03:00:03:6F,1A:03:A0:00:01:B7,0
1A:03:03:00:03:71,1A:03:A0:00:01:B8,0
1A:03:03:00:03:73,1A:03:A0:00:01:B9,0
1A:03:03:00:03:75,1A:03:A0:00:01:BA,0
1A:03:03:00:03:77,1A:03:A0:00:01:BB,0
1A:03:03:00:03:79,1A:03:A0:00:01:BC,0
1A:03:03:00:03:7B,1A:03:A0:00:01:BD,0
1A:03:03:00:03:7D,1A:03:A0:00:01:BE,0
1A:03:03:00:03:7F,1A:03:A0:00:01:BF,0
1A:03:03:00:03:81,1A:03:A0:00:01:C0,0
1A:03:03:00:03:83,1A:03:A0:00:01:C1,0
1A:03:03:00:03:85,1A:03:A0:00:01:C2,0
